,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11105,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19709331.0,19709331.0,False,,1,,,,2024-06-08T06:42:00.000Z,69359.63821137458,34582908168.03998,33.2871,0.15157201,-2.61562597,2.61915647,12.55613772,-2.03037476,-0.06115521,1367032067548.2295,53.5976,1456552402438.87,,2024-06-08T06:42:00.000Z,,,,,,2024-06-08 12:13:15.293867
1,1027,Ethereum,ETH,ethereum,9048,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120147950.30533144,120147950.30533144,True,,2,,,,2024-06-08T06:41:00.000Z,3685.498214493649,17939132582.83122,36.7707,0.10786704,-3.36212577,-2.54924354,22.79294326,0.68854537,-6.5362716,442805056325.37067,17.3658,442805056325.37,,2024-06-08T06:41:00.000Z,,,,,,2024-06-08 12:13:15.293867
2,825,Tether USDt,USDT,tether,88067,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112453114731.33092,115086088103.16122,True,,3,,,,2024-06-08T06:41:00.000Z,0.9995644104115526,81365964728.39085,39.1548,5.695e-05,-0.01747096,0.03148505,0.01357632,-0.063307,-0.20255404,112404131325.36548,4.4082,115035957801.41,,2024-06-08T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-08 12:13:15.293867
3,1839,BNB,BNB,bnb,2179,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147564568.68703684,147564568.68703684,False,,4,,,,2024-06-08T06:41:00.000Z,687.5555732938969,2864125783.8770075,-2.5705,0.46829247,-2.66481089,15.54811847,14.66591137,18.14446082,38.89804103,101458841621.48225,3.9789,101458841621.48,,2024-06-08T06:41:00.000Z,,,,,,2024-06-08 12:13:15.293867
4,5426,Solana,SOL,solana,678,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,460574673.72512525,577714410.6447846,True,,5,,,,2024-06-08T06:41:00.000Z,162.64526605504724,3219776299.292291,56.0505,0.12776374,-5.42427175,-2.50508259,12.01992961,-7.82181224,10.38809175,74910290346.23958,2.9378,93962514023.16,,2024-06-08T06:41:00.000Z,,,,,,2024-06-08 12:13:15.293867
5,3408,USDC,USDC,usd-coin,19646,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32196248294.81291,32196248294.81291,False,,6,,,,2024-06-08T06:41:00.000Z,1.000021074893164,7042305774.355389,25.258,0.0040865,0.00336076,-0.0069954,0.01053079,0.00656985,0.02006087,32196926827.306,1.2627,32196926827.31,,2024-06-08T06:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-08 12:13:15.293867
6,52,XRP,XRP,xrp,1339,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55506158411.0,99987553871.0,False,,7,,,,2024-06-08T06:42:00.000Z,0.4989645099823291,2374784461.125867,108.8704,-0.15188733,-4.8267915,-3.81178486,-4.28394869,-19.0281034,-20.08641895,27695603132.54615,1.0859,49896450998.23,,2024-06-08T06:42:00.000Z,,,,,,2024-06-08 12:13:15.293867
7,74,Dogecoin,DOGE,dogecoin,984,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144619916383.70526,144619916383.70526,True,,8,,,,2024-06-08T06:42:00.000Z,0.1478714817078443,1687733676.708073,94.3623,-0.21854176,-8.44995463,-7.08287409,0.17739676,-25.72641259,-16.16521823,21385161320.123047,0.8385,21385161320.12,,2024-06-08T06:42:00.000Z,,,,,,2024-06-08 12:13:15.293867
8,11419,Toncoin,TON,toncoin,392,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2430193748.514274,5107336080.566304,True,,9,3414166606.0,25203322720.307686,,2024-06-08T06:41:00.000Z,7.3819838422693795,415557262.89596534,15.3686,0.13803718,-3.81564388,17.09372777,22.14638015,7.33825374,158.0045853,17939650985.11643,0.7036,37702272423.78,,2024-06-08T06:41:00.000Z,,,,,,2024-06-08 12:13:15.293867
9,2010,Cardano,ADA,cardano,1192,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35716355055.854,36939171470.778,False,,10,,,,2024-06-08T06:41:00.000Z,0.44497250480469175,883965117.072428,199.4854,0.01751521,-3.55488989,-0.80277137,-3.08605259,-26.86960131,-39.31766507,15892795971.69707,0.6233,20023762716.21,,2024-06-08T06:41:00.000Z,,,,,,2024-06-08 12:13:15.293867
